year,1,2,3,4,5,6,7,8,9,10,11,12
1961,-0.5503,-0.65,-0.784,-0.7795,-0.7798,-0.8919,-0.4463,-0.0187,0.1797,-0.265,-0.3416,0.0604
1962,-0.0904,-0.4038,-1.1766,-1.3055,-1.3464,-1.0951,-0.6193,0.0352,-0.0041,-0.2593,-0.8575,-0.7802
1963,-0.5773,-0.4871,-0.891,-1.6072,-1.9464,-1.6167,-0.9973,-0.5845,-0.2291,0.0585,0.2961,0.5045
1964,0.2932,0.401,-0.3358,-0.9891,-2.0549,-1.7116,-1.4464,-0.9118,-1.2347,-1.1839,-1.4731,-1.6707
1965,-1.1551,-0.5105,-0.5244,-0.8208,-0.7637,0.1461,0.5215,0.6767,0.8184,1.1567,1.661,1.887
1966,1.6004,0.5529,-0.455,-0.9234,-0.962,-0.592,-0.3651,-0.0903,0.0881,0.292,0.0928,0.0565
1967,-0.1732,-0.2057,-0.9739,-1.1227,-1.0858,-0.3329,-0.1403,-0.2629,-0.4304,-0.8046,-0.6521,-0.8321
1968,-0.4537,-0.4302,-0.3727,-0.9069,-0.9001,-0.5661,0.0329,0.3821,0.6207,0.8325,0.8095,0.6273
1969,0.401,0.5718,0.7305,1.0612,1.1996,1.0317,0.665,0.3629,0.2102,0.3119,0.3175,0.7346
1970,0.7305,0.4932,0.0788,-0.0414,-0.0148,-0.088,-0.0196,-0.1332,-0.2482,-0.2787,-0.079,-0.0196
1971,-0.2063,-0.083,-0.037,-0.0379,-0.2429,-0.2768,-0.1291,-0.2875,-0.3009,-0.4331,-0.5491,-0.4939
1972,-0.2622,0.0993,0.5011,0.7645,1.2637,1.2179,1.1154,0.7483,0.7107,0.9377,1.1463,1.5345
1973,1.4427,1.224,0.9646,0.6856,0.4323,0.0558,-0.4578,-0.6168,-1.1037,-1.2544,-1.3646,-1.0379
1974,-0.0242,0.6513,1.289,1.3042,1.4541,0.9413,0.5063,-0.574,-0.5759,-0.9627,-1.2109,-1.3027
1975,-0.8544,0.3199,0.4838,0.0869,-0.2638,-0.5121,-0.6041,-0.7637,-0.9121,-1.2928,-1.8686,-2.1874
1976,-2.298,-2.1602,-2.4148,-1.8508,-1.2246,-0.4309,-0.2369,-0.2111,0.3241,1.0968,1.4516,1.4443
1977,1.1264,1.1026,0.6506,0.478,0.223,0.2891,0.183,0.0323,-0.1406,-0.0705,0.0834,0.3064
1978,0.3504,0.4248,0.4303,0.0693,-0.2983,-0.3966,-0.2131,-0.4114,-0.3496,-0.4653,-0.0077,-0.1641
1979,0.1504,0.3097,0.7002,0.709,0.7758,0.7902,0.7876,0.5866,0.8322,0.8743,0.8452,0.2797
1980,-0.0246,-0.105,-0.1748,-0.193,-0.1421,-0.052,-0.0062,-0.3951,-0.3305,-0.6064,-0.395,-0.669
1981,-0.2737,0.1623,1.0336,1.003,0.8067,0.4625,0.3519,0.4929,0.3452,0.6512,0.5188,0.6597
1982,0.4503,0.1695,-0.0421,-0.1447,0.3413,0.3073,0.8443,1.0893,2.062,2.7756,3.4955,4.093
1983,4.2814,4.0368,3.424,3.0885,2.9916,3.0231,2.7717,2.4262,1.4666,0.5623,-0.4279,-0.3718
1984,0.1031,0.7542,0.6534,0.1711,-0.0489,-0.2041,-0.2565,-0.7061,-0.947,-1.2669,-1.2038,-0.9867
1985,-0.4816,-0.3422,-0.4494,-0.6272,-0.3878,-0.1298,0.1614,0.1986,0.2967,0.045,-0.1688,-0.3067
1986,-0.349,-0.0767,-0.5868,-0.6738,-0.9852,-0.2888,0.5157,0.9541,1.1173,1.2609,1.3962,1.2849
1987,1.1543,1.003,1.2227,0.7467,1.1062,1.4847,2.0909,2.01,1.2994,1.0907,1.0597,1.1318
1988,0.9974,0.3801,0.0035,-0.8215,-0.8344,-0.6391,-0.2453,-0.2921,-0.4448,-0.5001,-0.7345,-0.6649
1989,-1.2256,-1.3196,-1.3005,-0.754,-0.4524,-0.636,-0.54,-0.4757,-0.1856,-0.0759,-0.1352,-0.1838
1990,0.2724,0.8802,1.068,0.7696,0.6239,0.6619,0.5272,0.2891,0.164,0.1596,0.2557,0.0253
1991,-0.1549,0.1809,0.4115,0.5906,-0.2123,-0.1632,0.1348,0.7295,0.3279,-0.0031,-0.2387,0.156
1992,0.4551,0.7849,0.9593,0.9109,0.7601,0.3782,0.2654,-0.2555,-0.4938,-0.8357,-0.5538,-0.3616
1993,-0.3825,-0.319,0.0322,0.4504,0.9857,1.3678,1.322,0.4866,-0.1859,-0.0559,0.2235,0.3679
1994,-0.0434,-0.3963,-0.9308,-1.0767,-0.6804,-0.6825,-0.8447,-1.4428,-1.0643,-0.6532,0.1479,0.4977
1995,0.5014,0.0101,-0.2993,-0.3288,-0.3421,-0.7241,-0.9073,-0.9692,-0.4585,-0.3852,-0.1264,-0.2423
1996,0.122,-0.1033,-0.3513,-0.9191,-0.8902,-1.0733,-1.6656,-2.1418,-2.4744,-1.832,-1.4389,-1.5091
1997,-1.2586,-1.4579,-1.3394,-0.7769,0.5496,2.4417,3.2366,3.4295,3.8913,4.2909,4.7813,4.8407
1998,4.8447,4.7494,4.7638,4.3251,3.4266,2.4384,1.4477,1.3108,0.3409,-0.3108,-1.0876,-0.9232
1999,-0.3519,0.4392,0.1296,-0.3338,-1.2017,-1.2706,-1.5377,-1.5095,-1.5663,-1.7011,-1.8931,-1.8803
2000,-1.5226,-1.3853,-1.1809,-1.0965,-0.6176,-0.575,-0.5697,-0.8211,-0.4548,-0.5576,-0.4734,-0.6279
2001,-0.3805,-0.5277,-0.6374,-1.0707,-1.1238,-1.3188,-0.9397,-0.7159,-0.6285,-0.8067,-0.7061,-0.4335
2002,0.3325,0.2681,-0.1482,-0.4048,-0.3726,-0.0601,-0.4594,-0.396,0.0935,0.6537,1.0383,0.9065
2003,0.6189,0.6052,0.2504,0.1384,-0.4464,-0.5128,-0.474,-0.0349,0.1011,0.5112,0.3073,0.3413
2004,0.1883,0.2504,-0.1381,-0.6397,-0.994,-0.9866,-1.1869,-1.1148,-0.9215,-0.3922,-0.2128,0.1408
2005,-0.4134,-0.1434,0.289,0.8514,0.2966,-0.484,-0.4936,-0.3036,-0.569,-0.9669,-0.9886,-0.5662
2006,-0.4005,-0.7627,-1.1377,-1.4191,-1.1318,-0.9415,-0.7583,-0.1445,0.3265,1.0555,0.8245,0.9638
2007,0.6946,0.6722,0.3523,0.3903,0.1299,-0.1438,-0.8149,-0.7977,-1.1568,-0.9705,-0.8992,-1.1469
2008,-1.4856,-1.5962,-1.1987,-0.9072,-0.3362,0.5672,1.6455,1.7791,1.5851,0.6827,-0.2387,-0.6324
2009,-0.761,-0.726,-0.8718,-0.8341,-0.6406,-0.1235,0.5372,1.2754,1.4389,1.2561,1.233,1.6771
2010,2.0277,1.9217,1.4584,0.7852,-0.0581,-0.6483,-0.7969,-0.8144,-1.2703,-1.9988,-2.495,-2.2185
2011,-1.5718,-0.535,0.128,0.7248,0.9184,0.7273,0.4574,0.0901,-0.1925,-0.7843,-1.2523,-1.9732
2012,-2.0574,-1.5176,0.0207,1.3393,1.4678,0.5599,-0.3921,-0.6239,-0.8927,-0.7539,-1.0372,-0.6618
2013,-0.6066,-0.5074,-0.4493,-1.0585,-1.3426,-2.0812,-2.0824,-1.873,-0.9911,-0.6535,-0.7447,-0.7636
2014,-0.5768,-0.0079,-0.2614,-0.1291,-0.3879,0.0235,0.0351,0.2133,-0.1407,-0.0016,-0.1501,0.0261
2015,-0.0921,-0.6372,-0.0946,0.7496,2.3272,2.6253,2.7225,2.9074,3.2537,3.477,3.7341,3.3709
2016,2.469,1.0372,-0.1517,-0.3223,0.5355,0.6555,0.2692,-0.691,-1.0693,-1.4539,-1.6459,-0.9983
2017,-0.5958,-0.4736,-0.6153,-0.0891,0.3146,0.2715,0.0208,-0.2936,-0.4919,-1.2091,-1.6823,-1.7058
2018,-1.2935,-0.9852,-1.1675,-1.3413,-1.5996,-1.1173,-0.9458,-0.4385,-0.4127,-0.0039,0.2304,0.3567
2019,0.2978,-0.1232,-0.2322,-0.2125,-0.132,-0.0064,0.0086,-0.2096,-0.5288,-0.6222,-0.1633,0.5912
2020,1.15,0.5917,-0.6512,-1.2646,-0.9115,-0.5899,-1.078,-1.2715,-1.2249,-1.2057,-1.5471,-1.3749
2021,-0.7442,-0.2607,-0.3059,-0.5339,-0.4218,-0.2148,-0.1456,-0.0643,-0.5258,-1.0304,-1.6687,-1.7402
2022,-1.8023,-1.161,-0.7906,-0.3623,-0.8157,-1.1796,-1.3209,-1.3558,-1.6718,-2.148,-2.2614,-1.6841
2023,-1.3181,-0.8054,-0.2842,1.6226,2.4031,3.4469,2.9093,3.3466,3.1952,3.4864,3.1999,2.9615
2024,2.3697,1.7607,1.0102,0.7689,0.7267,0.6415,0.1662,0.3709,0.4482,0.4758,0.0169,0.3901
2025,0.7171,1.5322,1.8786,1.5664,1.2016,,,,,,,
